slice_id,slice_name,question_type,molecule_ids,processing_lanes,paper_purposes,model_types,primary_study_types,role_categories,condition_tags_include,endpoint_tags_include,evidence_strength_min,year_min,year_max,include_reviews,include_methods,include_unclear,text_include,text_exclude,notes
retatrutide_obesity_t2d_human_intervention,Retatrutide human obesity/T2D intervention,PICO,retatrutide,human_intervention,intervention_efficacy_safety,human,RCT|Human interventional non-RCT,,obesity_weight|diabetes_glycemic,body_weight|glycemic_control|safety_tolerability,3,2020,,true,false,false,,,Adults with obesity or type 2 diabetes receiving retatrutide.
tirzepatide_obesity_t2d_human_intervention,Tirzepatide human obesity/T2D intervention,PICO,tirzepatide,human_intervention,intervention_efficacy_safety,human,RCT|Human interventional non-RCT,,obesity_weight|diabetes_glycemic,body_weight|glycemic_control|safety_tolerability,3,2020,,true,false,false,,,Adults with obesity or type 2 diabetes receiving tirzepatide.
retatrutide_reviews_and_meta,Retatrutide evidence syntheses,PICO-lite,retatrutide,review_or_meta_analysis,evidence_synthesis,review|human,Systematic review / Meta-analysis,,obesity_weight|diabetes_glycemic,body_weight|glycemic_control|safety_tolerability,0,2020,,true,false,false,,,Review and meta-analysis records where retatrutide appears in the treatment class or analysis.
bpc157_preclinical_tissue_repair,BPC-157 preclinical tissue repair,PECO,bpc_157,preclinical_intervention,intervention_efficacy_safety,animal|in vitro,Animal in vivo|In vitro / cell,direct_intervention,musculoskeletal|inflammation_autoimmune,inflammation,1,1990,,false,false,false,injury|wound|tendon|muscle|healing,,Preclinical repair/injury models for BPC-157.
glutathione_direct_intervention,Glutathione direct intervention only,PICO/PECO,glutathione,human_intervention|preclinical_intervention,intervention_efficacy_safety,human|animal|in vitro,RCT|Human interventional non-RCT|Animal in vivo|In vitro / cell,direct_intervention,,oxidative_stress|inflammation|mitochondrial_function|safety_tolerability,1,1990,,false,false,false,,glutathione peroxidase|glutathione s-transferase|gsh-px,Glutathione as administered intervention, excluding enzyme/pathway-only records.
nmn_nad_preclinical_and_human,NMN/NAD precursor intervention evidence,PICO/PECO,nmn,preclinical_intervention|human_intervention,intervention_efficacy_safety,human|animal,RCT|Human interventional non-RCT|Animal in vivo,direct_intervention,neurocognitive|diabetes_glycemic|cardiovascular|mitochondrial_disease,mitochondrial_function|glycemic_control|cardiovascular_endpoint|safety_tolerability,2,2000,,false,false,false,NMN|nicotinamide mononucleotide,,NMN intervention records in human or animal models.
